word,colour,stim_condition,correct_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_2.started,text_2.stopped,ins.stopped,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,text.stopped,thanks.started,text_3.started,text_3.stopped,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,0.0033994,0.0127994,1.0163697,1.0004938,,,,,,,,,,,,,,,,participant 1,1,2024-12-05_18h06.11.372,solo_experiment,2024.1.5,None,2024-12-05 18h06.31.597443 +0530
Sadness,yellow,I,y,0,0,0,10,1.0163697,,,,,,1.0051122,1.0163697,1.5002839,1.5002839,1.5166604,4.0688837,y,1,2.5527425,None,,,,,,participant 1,1,2024-12-05_18h06.11.372,solo_experiment,2024.1.5,None,2024-12-05 18h06.31.597443 +0530
Sadness,red,I,r,0,1,1,12,4.0831268,,,,,,4.0702312,4.0831268,4.5829075,4.5829075,4.5829075,6.2833138,r,1,1.6931377,None,,,,,,participant 1,1,2024-12-05_18h06.11.372,solo_experiment,2024.1.5,None,2024-12-05 18h06.31.597443 +0530
Sadness,pink,I,p,0,2,2,11,6.2995334,,,,,,6.2848852,6.2995334,6.7991509,6.7991509,6.7991509,8.4006338,p,1,1.5999343,None,,,,,,participant 1,1,2024-12-05_18h06.11.372,solo_experiment,2024.1.5,None,2024-12-05 18h06.31.597443 +0530
Anger,yellow,I,y,0,3,3,13,8.4159016,,,,,,8.4009487,8.4159016,8.9156627,8.9156627,8.9156627,10.5174483,y,1,1.5851991,None,,,,,,participant 1,1,2024-12-05_18h06.11.372,solo_experiment,2024.1.5,None,2024-12-05 18h06.31.597443 +0530
Anger,pink,I,p,0,4,4,14,10.5324774,,,,,,10.5177585,10.5324774,11.0317536,11.0317536,11.0317536,12.8155071,p,1,1.7734684,None,,,,,,participant 1,1,2024-12-05_18h06.11.372,solo_experiment,2024.1.5,None,2024-12-05 18h06.31.597443 +0530
Joy,grey,I,g,0,5,5,5,12.8315152,,,,,,12.8158349,12.8315152,13.3155462,13.3155462,13.3319507,21.9147496,p,0,8.5881443,None,17.8312985,,,,,participant 1,1,2024-12-05_18h06.11.372,solo_experiment,2024.1.5,None,2024-12-05 18h06.31.597443 +0530
Anger,grey,I,g,0,6,6,15,21.9303263,,,,,,21.9150688,21.9303263,22.4137155,22.4137155,22.430509,28.6133128,g,1,6.1949605,None,26.9298682,,,,,participant 1,1,2024-12-05_18h06.11.372,solo_experiment,2024.1.5,None,2024-12-05 18h06.31.597443 +0530
Love,grey,I,g,0,7,7,8,28.629322,,,,,,28.6136042,28.629322,29.1129382,29.1129382,29.1297295,31.2799855,g,1,2.1554818,None,,,,,,participant 1,1,2024-12-05_18h06.11.372,solo_experiment,2024.1.5,None,2024-12-05 18h06.31.597443 +0530
Joy,yellow,C,y,0,8,8,0,31.2959773,,,,,,31.2802869,31.2959773,31.7795654,31.7795654,31.7961335,33.1966267,y,1,1.40669,None,,,,,,participant 1,1,2024-12-05_18h06.11.372,solo_experiment,2024.1.5,None,2024-12-05 18h06.31.597443 +0530
Sadness,grey,C,g,0,9,9,2,33.2127304,,,,,,33.1969307,33.2127304,33.7125808,33.7125808,33.7125808,34.8630952,g,1,1.1392484,None,,,,,,participant 1,1,2024-12-05_18h06.11.372,solo_experiment,2024.1.5,None,2024-12-05 18h06.31.597443 +0530
Love,red,I,r,0,10,10,9,34.8786752,,,,,,34.8634108,34.8786752,35.3627048,35.3627048,35.3789949,37.3791827,r,1,2.0143238,None,,,,,,participant 1,1,2024-12-05_18h06.11.372,solo_experiment,2024.1.5,None,2024-12-05 18h06.31.597443 +0530
Anger,red,C,r,0,11,11,3,37.3951675,,,,,,37.3794961,37.3951675,37.8954465,37.8954465,37.8954465,39.0622935,r,1,1.1510503,None,,,,,,participant 1,1,2024-12-05_18h06.11.372,solo_experiment,2024.1.5,None,2024-12-05 18h06.31.597443 +0530
Love,pink,C,p,0,12,12,1,39.0780495,,,,,,39.0625749,39.0780495,39.561545,39.561545,39.5780948,40.7618092,p,1,1.1915894,None,,,,,,participant 1,1,2024-12-05_18h06.11.372,solo_experiment,2024.1.5,None,2024-12-05 18h06.31.597443 +0530
Joy ,red,I,r,0,13,13,6,40.7780156,,,,,,40.7620918,40.7780156,41.2616588,41.2616588,41.2778536,42.3784414,r,1,1.1041572,None,,,,,,participant 1,1,2024-12-05_18h06.11.372,solo_experiment,2024.1.5,None,2024-12-05 18h06.31.597443 +0530
Joy ,pink,I,p,0,14,14,4,42.3945881,,,,,,42.3787091,42.3945881,42.8780796,42.8780796,42.8946865,43.7445615,p,1,0.8568592,None,,,,,,participant 1,1,2024-12-05_18h06.11.372,solo_experiment,2024.1.5,None,2024-12-05 18h06.31.597443 +0530
Love,yellow,I,y,0,15,15,7,43.7609488,,,,,,43.7448652,43.7609488,44.244377,44.244377,44.2610163,45.4120936,y,1,1.1528552,None,,,,,,participant 1,1,2024-12-05_18h06.11.372,solo_experiment,2024.1.5,None,2024-12-05 18h06.31.597443 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,45.4123656,45.4275206,46.4273472,46.4109981,participant 1,1,2024-12-05_18h06.11.372,solo_experiment,2024.1.5,None,2024-12-05 18h06.31.597443 +0530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,PARTICIPANT 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
word,key_resp.rt,,mean_negative,,,mean_positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sadness,2.5527425,,Sadness,2.5527425,,Joy,8.5881443,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sadness,1.6931377,,Sadness,1.6931377,,Love,2.1554818,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sadness,1.5999343,,Sadness,1.5999343,,Joy,1.40669,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anger,1.5851991,,Anger,1.5851991,,Love,2.0143238,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anger,1.7734684,,Anger,1.7734684,,Love,1.1915894,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joy,8.5881443,,Anger,6.1949605,,Joy ,1.1041572,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anger,6.1949605,,Sadness,1.1392484,,Joy ,0.8568592,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love,2.1554818,,Anger,1.1510503,,Love,1.1528552,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joy,1.40669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sadness,1.1392484,,mean_negative,2.21121765,,mean_positive,2.308762613,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love,2.0143238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anger,1.1510503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love,1.1915894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joy ,1.1041572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Joy ,0.8568592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love,1.1528552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
